[2025-02-07 11:07:34,881] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,883] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,887] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,891] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,895] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,898] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,902] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,906] INFO [Broker id=0] Leader user-topic-0 with topic id Some(J2MrXwZFSraLPnB_ui4eLw) starts at leader epoch 0 from offset 9 with partition epoch 0, high watermark 9, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,906] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,909] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
